Country,Climate,Culture,Cuisine,Adventure activities,Natural beauty,Budget,Language,Safety
France,8,9,9,7,7,6,French,7
Spain,8,8,9,7,8,7,Spanish,7
Italy,8,9,9,7,8,6,Italian,7
United States,7,8,9,8,9,6,English,7
Thailand,9,7,9,7,8,9,Thai,7
Greece,8,9,8,7,8,7,Greek,7
Turkey,8,9,9,7,8,8,Turkish,7
Germany,7,8,8,7,7,7,German,7
United Kingdom,7,8,8,7,7,6,English,7
Mexico,8,7,9,7,8,7,Spanish,6
Japan,7,9,9,8,7,6,Japanese,8
Indonesia,9,7,9,7,9,9,Indonesian,7
China,7,9,9,6,7,7,Mandarin,7
Malaysia,9,7,9,7,8,8,Malay,7
Philippines,9,7,8,7,9,9,Filipino,7
India,8,9,9,6,7,8,Hindi,7
Vietnam,9,7,9,7,8,8,Vietnamese,7
Sri Lanka,9,8,8,7,9,9,Sinhala,7
Cambodia,9,7,8,7,9,9,Khmer,7
Singapore,8,7,9,6,7,7,English,8
Hong Kong,8,8,9,6,7,6,Cantonese,8
Taiwan,7,8,9,7,7,7,Mandarin,7
South Korea,7,8,9,7,7,7,Korean,8
Macau,8,7,9,6,7,6,Cantonese,8
Bali,9,7,8,8,9,8,Indonesian,7
Maldives,9,7,8,7,9,7,Dhivehi,7
Dubai,9,7,8,8,7,6,Arabic,8
